timestamp,bet_amount,outcome,balance
2024-01-15T10:00:00,10,loss,1000
2024-01-15T10:00:30,10,loss,990
2024-01-15T10:01:00,10,win,1010
2024-01-15T10:01:30,10,loss,1000
2024-01-15T10:02:00,10,loss,990
2024-01-15T10:02:30,10,loss,980
2024-01-15T10:03:00,10,loss,970
2024-01-15T10:03:30,10,win,990
2024-01-15T10:04:00,10,loss,980
2024-01-15T10:04:30,10,loss,970
2024-01-15T10:05:00,10,loss,960
2024-01-15T10:05:30,10,loss,950
2024-01-15T10:06:00,10,loss,940
2024-01-15T10:06:30,10,loss,930
2024-01-15T10:07:00,15,loss,915
2024-01-15T10:07:30,15,loss,900
2024-01-15T10:08:00,15,loss,885
2024-01-15T10:08:30,15,loss,870
2024-01-15T10:09:00,15,loss,855
2024-01-15T10:09:30,15,loss,840
2024-01-15T10:10:00,15,loss,825
2024-01-15T10:10:30,20,loss,805
2024-01-15T10:11:00,20,loss,785
2024-01-15T10:11:30,20,loss,765
2024-01-15T10:12:00,20,loss,745
2024-01-15T10:12:30,20,loss,725
2024-01-15T10:13:00,20,loss,705
2024-01-15T10:13:30,20,loss,685
2024-01-15T10:14:00,25,loss,660
2024-01-15T10:14:30,25,loss,635
2024-01-15T10:15:00,25,loss,610
2024-01-15T10:15:30,25,loss,585
2024-01-15T10:16:00,25,loss,560
2024-01-15T10:16:30,25,loss,535
2024-01-15T10:17:00,25,loss,510
2024-01-15T10:17:30,30,loss,480
2024-01-15T10:18:00,30,loss,450
2024-01-15T10:18:30,30,loss,420
2024-01-15T10:19:00,30,loss,390
2024-01-15T10:19:30,30,loss,360
2024-01-15T10:20:00,30,loss,330
2024-01-15T10:20:30,30,loss,300
2024-01-15T10:21:00,30,loss,270
2024-01-15T10:21:30,30,win,330
2024-01-15T10:22:00,30,loss,300
2024-01-15T10:22:30,30,loss,270
2024-01-15T10:23:00,30,loss,240
2024-01-15T10:23:30,30,loss,210
2024-01-15T10:24:00,30,loss,180
2024-01-15T10:24:30,30,loss,150
2024-01-15T10:25:00,30,loss,120
2024-01-15T10:25:30,30,loss,90
2024-01-15T10:26:00,30,loss,60
2024-01-15T10:26:30,30,loss,30
2024-01-15T10:27:00,30,loss,0
