timestamp,bet_amount,outcome,balance
2024-01-15T10:00:00,10,loss,1000
2024-01-15T10:00:10,10,loss,990
2024-01-15T10:00:20,10,win,1010
2024-01-15T10:00:30,10,loss,1000
2024-01-15T10:00:40,10,loss,990
2024-01-15T10:00:50,10,loss,980
2024-01-15T10:01:00,10,loss,970
2024-01-15T10:01:10,10,win,990
2024-01-15T10:01:20,10,loss,980
2024-01-15T10:01:30,10,loss,970
2024-01-15T10:01:40,10,loss,960
2024-01-15T10:01:50,10,loss,950
2024-01-15T10:02:00,10,loss,940
2024-01-15T10:02:10,10,loss,930
2024-01-15T10:02:20,15,loss,915
2024-01-15T10:02:30,15,loss,900
2024-01-15T10:02:40,15,loss,885
2024-01-15T10:02:50,15,loss,870
2024-01-15T10:03:00,15,loss,855
2024-01-15T10:03:10,15,loss,840
2024-01-15T10:03:20,15,loss,825
2024-01-15T10:03:30,20,loss,805
2024-01-15T10:03:40,20,loss,785
2024-01-15T10:03:50,20,loss,765
2024-01-15T10:04:00,20,loss,745
2024-01-15T10:04:10,20,loss,725
2024-01-15T10:04:20,20,loss,705
2024-01-15T10:04:30,20,loss,685
2024-01-15T10:04:40,25,loss,660
2024-01-15T10:04:50,25,loss,635
2024-01-15T10:05:00,25,loss,610
2024-01-15T10:05:10,25,loss,585
2024-01-15T10:05:20,25,loss,560
2024-01-15T10:05:30,25,loss,535
2024-01-15T10:05:40,25,loss,510
2024-01-15T10:05:50,30,loss,480
2024-01-15T10:06:00,30,loss,450
2024-01-15T10:06:10,30,loss,420
2024-01-15T10:06:20,30,loss,390
2024-01-15T10:06:30,30,loss,360
2024-01-15T10:06:40,30,loss,330
2024-01-15T10:06:50,30,loss,300
2024-01-15T10:07:00,30,loss,270
2024-01-15T10:07:10,30,win,330
2024-01-15T10:07:20,30,loss,300
2024-01-15T10:07:30,30,loss,270
2024-01-15T10:07:40,30,loss,240
2024-01-15T10:07:50,30,loss,210
2024-01-15T10:08:00,30,loss,180
2024-01-15T10:08:10,30,loss,150
2024-01-15T10:08:20,30,loss,120
2024-01-15T10:08:30,30,loss,90
2024-01-15T10:08:40,30,loss,60
2024-01-15T10:08:50,30,loss,30
2024-01-15T10:09:00,30,loss,0
